# IOC Export  2026-06-06_23-07-UTC
# 7 Samples  |  Format: sha256  # kategorie | score | familie | typ
#
[SHA256]
6266afe2c3346f13d28091c7cacfa31ec104babb432c5334d308dd277a917863  # Loader | R=74.9 | Win64:Evo-gen [Trj] | exe
ab2b0b2ec162c2ada4c92db0345fbdf0f2e1df189c299e5b668b0ba850bd68fb  # Trojaner | R=72.4 | Linux | elf
be2cbb34f0f87c275a175063fe77861f9805e17c35882fadf7784e8689c24cab  # Trojaner | R=68.4 | Dacic | exe
3ea33da21e2745965c0f2884a7050635d9e72b6f72df48bb763ebbc810a88aca  # Backdoor | R=63.3 | Dacic | exe
12f8eda608964b0414e980597d288aef0da21e6f6ee2080f596431924583ba9c  # Trojaner | R=60.2 | Snojan | exe
3d8eecb08ff192adc7df77e0b7d4a2fa29f994e80e3fda830b5fcf3bca99b31f  # Andere / Unbekannt | R=31.9 | unbekannt | unknown
b571bac3e2c4bfc7858eb736d9f9ad44c53f329d7fb8181e61b7c047d4f1d17b  # Andere / Unbekannt | R=31.4 | unbekannt | unknown

[Tags]
B
MIX4.file
dropped-by-GCleaner
elf
enthec
exe
pe
signed
wraith

[VT Engine Detections]

  Elastic                        malicious (moderate confidence)
  Emsisoft                       Trojan.Agent.CYZT (B)
  F-Secure                       Trojan.TR/Crypt.ULPM.Gen2
  Fortinet                       Riskware/Snojan
  GData                          Trojan.Agent.CYZT
  Google                         Detected
  Jiangmin                       Downloader.Snojan.adp
  K7AntiVirus                    Trojan ( 004bcce41 )
  K7GW                           Trojan ( 004bcce41 )
  Kaspersky                      VHO:Flooder.Win32.CoreWarrior.gen
  Kingsoft                       Win32.Flooder.CoreWarrior.a
  Lionic                         Hacktool.Win32.Snojan.3!c
  Malwarebytes                   Trojan.Downloader
  MaxSecure                      Trojan.Malware.325666027.susgen
  McAfeeD                        Trojan:Win/Snojan.EAL
  MicroWorld-eScan               Trojan.Agent.CYZT
  Microsoft                      Trojan:Win32/CoreWarrior.DA!MTB
  NANO-Antivirus                 Trojan.Win32.Snojan.jqzopm
  Paloalto                       generic.ml
  Panda                          Trj/Genetic.gen
  Rising                         Downloader.Snojan!8.ECDD (C64:YzY0OuPiVK+jaoMm)
  Sangfor                        Trojan.Win32.Save.a
  SentinelOne                    Static AI - Malicious PE
  Sophos                         Troj/Bdoor-BHD
  Symantec                       Hacktool.Flooder
  Tencent                        Trojan.Win32.Agent.cqe
  Trapmine                       suspicious.low.ml.score
  TrellixENS                     Artemis!8D12CFEAFB64
  VBA32                          Flooder.CoreWarrior
  VIPRE                          Trojan.Agent.CYZT
  Varist                         W32/Agent.FBOO-5422
  VirIT                          Win32.Sality.BK
  Webroot                        W32.Trojan.Agent.Gen
  Xcitium                        TrojWare.Win32.Snojan.B@7h1cjp
  Zillya                         Trojan.Agent.Win32.4286213
  ZoneAlarm                      Troj/Bdoor-BHD
  alibabacloud                   DDoS:Win/Nemucod
  huorong                        HVM:TrojanDownloader/Small.gen!A
