# IOC Export  2026-04-11_07-06-UTC
# 31 Samples  |  Format: sha256  # kategorie | score | familie | typ
#
[SHA256]
  GData                          Gen:Variant.Trojan.Linux.Gafgyt.8
  Google                         Detected
  Gridinsoft                     Susp.U.XOREncoded.sd!yf
  Ikarus                         LINUX.AVF.Bot
  Kaspersky                      HEUR:Backdoor.Linux.Mirai.b
  MaxSecure                      Trojan.Malware.121218.susgen
  McAfeeD                        Trojan:Linux/GenericY.HO
  MicroWorld-eScan               Gen:Variant.Trojan.Linux.Gafgyt.8
  Microsoft                      Backdoor:Linux/Mirai.AW!xp
  Rising                         Backdoor.Mirai/Linux!8.13285 (CLOUD)
  Sangfor                        Suspicious.Linux.Save.a
  Tencent                        Backdoor.Linux.Mirai.waw
  TrendMicro                     Backdoor.Linux.MIRAI.SMLBO20
  TrendMicro-HouseCall           Backdoor.Linux.MIRAI.SMLBO20
  VIPRE                          Gen:Variant.Trojan.Linux.Gafgyt.8
  Varist                         E32/Mirai.EA.gen!Camelot
  huorong                        Trojan/Linux.Mirai.g

## 813079082d04bf82dd52...  (Mirai) | Defender: ✓ Gen:Variant.Trojan.Linux.Gafgyt.8
   Erkannt: 32/76 Engines (42.1%) — 🟠 MÄSSIG ERKANNT
  ALYac                          Gen:Variant.Trojan.Linux.Gafgyt.8
  AVG                            ELF:Mirai-AHC [Trj]
  AhnLab-V3                      Linux/Mirai.Gen15
  Arcabit                        Trojan.Trojan.Linux.Gafgyt.8
  Avast                          ELF:Mirai-AHC [Trj]
  Avast-Mobile                   ELF:Mirai-FY [Trj]
  Avira                          LINUX/Mirai.bonb
  BitDefender                    Gen:Variant.Trojan.Linux.Gafgyt.8
  CTX                            elf.trojan.gafgyt
  ClamAV                         Unix.Trojan.Mirai-7100807-0
  Cynet                          Malicious (score: 99)
  DrWeb                          Linux.Mirai.9770
  ESET-NOD32                     Linux/Mirai.A trojan
  Emsisoft                       Gen:Variant.Trojan.Linux.Gafgyt.8 (B)
  F-Secure                       Malware.LINUX/Mirai.bonb
  Fortinet                       ELF/Mirai.AT!tr
  GData                          Gen:Variant.Trojan.Linux.Gafgyt.8
  Google                         Detected
  Gridinsoft                     Susp.U.XOREncoded.sd!yf
  Ikarus                         Backdoor.Linux.Mirai
  Kaspersky                      HEUR:Backdoor.Linux.Mirai.r
  Lionic                         Trojan.ELF.Mirai.4!c
  MaxSecure                      Trojan.Malware.121218.susgen
  McAfeeD                        Trojan:Linux/GenericY.HO
  MicroWorld-eScan               Gen:Variant.Trojan.Linux.Gafgyt.8
  Microsoft                      Trojan:Linux/Mirai.HAW!MTB
  Rising                         Backdoor.Mirai/Linux!8.13285 (CLOUD)
  Sangfor                        Suspicious.Linux.Save.a
  Tencent                        Backdoor.Linux.Mirai.wz
  VIPRE                          Gen:Variant.Trojan.Linux.Gafgyt.8
  Varist                         E32/Mirai.IP.gen!Eldorado
  huorong                        Trojan/Linux.Mirai.g

## 5ea579e8fa695b2312ed...  (ValleyRAT) ⭐ WOCHEN-SAMPLE | Defender: ✓ Gen:Variant.Giant.Midie.604
   Erkannt: 47/76 Engines (61.8%) — 🟠 MÄSSIG ERKANNT
  ALYac                          Gen:Variant.Giant.Midie.604
  APEX                           Malicious
  AVG                            FileRepMalware [Drp]
  AhnLab-V3                      Trojan/Win.Injector.X2247
  Alibaba                        Trojan:Win64/Aotera.3ed55e58
  Antiy-AVL                      Trojan/Win64.Aotera
  Arcabit                        Trojan.Giant.Midie.604
  Avast                          FileRepMalware [Drp]
  BitDefender                    Gen:Variant.Giant.Midie.604
  CAT-QuickHeal                  Trojan.IGENERIC
  CTX                            exe.trojan.aotera
  Cylance                        Unsafe
  Cynet                          Malicious (score: 99)
  DeepInstinct                   MALICIOUS
  ESET-NOD32                     Win64/Aotera.DV trojan
  Emsisoft                       Gen:Variant.Giant.Midie.604 (B)
  Fortinet                       W64/Aotera.BF!tr
  GData                          Gen:Variant.Giant.Midie.604
  Google                         Detected
  Gridinsoft                     Trojan.Win32.Downloader.sa
  Ikarus                         Trojan.Win64.Aotera
  K7AntiVirus                    Trojan ( 006dbea21 )
  K7GW                           Trojan ( 006dbea21 )
  Kaspersky                      UDS:Trojan.Win64.Generic
  Kingsoft                       Win64.Trojan.Generic.a
  Lionic                         Trojan.Win32.Adload.tt1X
  Malwarebytes                   Malware.AI.401317728
  MaxSecure                      Trojan.Malware.646512010.susgen
  McAfeeD                        ti!5EA579E8FA69
  MicroWorld-eScan               Gen:Variant.Giant.Midie.604
  Microsoft                      Trojan:Win32/Qwexlafiba!rfn
  Paloalto                       generic.ml
  Panda                          Trj/PhxBzA.A
  Rising                         Trojan.Aotera!8.1D79F (CLOUD)
  Sangfor                        Trojan.Win64.Aotera.Vfig
  Sophos                         Mal/Generic-S
  Symantec                       Trojan.Gen.MBT
  Tencent                        Win64.Trojan.Generic.Jajl
  TrellixENS                     Artemis!32C1EA0F9475
  TrendMicro                     Backdoor.Win32.VALLEYRAT.YXGDAZ
  TrendMicro-HouseCall           Backdoor.Win32.VALLEYRAT.YXGDAZ
  VBA32                          Trojan.Win64.Aotera
  VIPRE                          Gen:Variant.Giant.Midie.604
  Varist                         W64/Kryptik.NZT.gen!Eldorado
  VirIT                          Trojan.Win32.NSISGenT.AGOS
  Xcitium                        Malware@#1r85r73d2dko3
  alibabacloud                   Trojan:Win/Aotera.DY
